               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029198,            0.012955,            0.033315,             0.58398,             0.79099,             0.66823,             0.45651,             0.01545,           0.0038268,            0.018588,           0.0091337,           0.0091337,           0.0091337
                  37,            0.031005,            0.013697,            0.031761,             0.53873,             0.77923,             0.68644,             0.46461,            0.016657,            0.003843,            0.019892,            0.009109,            0.009109,            0.009109
                  38,            0.030045,            0.013363,            0.029652,             0.67451,             0.65034,             0.63313,             0.42298,            0.016056,           0.0036273,            0.020284,           0.0090843,           0.0090843,           0.0090843
                  39,            0.030291,            0.012417,            0.030267,             0.47455,             0.79648,             0.62551,              0.4303,            0.015967,           0.0036925,            0.018468,           0.0090595,           0.0090595,           0.0090595
                  40,            0.030626,            0.013482,            0.031404,             0.52378,             0.79521,             0.65859,             0.44897,            0.015909,           0.0038392,            0.020143,           0.0090347,           0.0090347,           0.0090347
                  41,            0.030619,            0.013314,            0.033856,             0.51413,             0.76637,             0.66333,             0.45331,            0.015158,           0.0037372,            0.019066,             0.00901,             0.00901,             0.00901
                  42,            0.029313,            0.013528,            0.032356,             0.49766,             0.67042,             0.59621,              0.3808,            0.016836,           0.0041068,            0.021708,           0.0089853,           0.0089853,           0.0089853
                  43,            0.029722,             0.01292,            0.032308,             0.52677,             0.72801,             0.64701,                0.42,            0.015615,           0.0039672,            0.019178,           0.0089605,           0.0089605,           0.0089605
                  44,            0.029101,            0.013086,             0.02977,             0.50456,              0.7496,             0.64025,             0.44167,            0.015601,           0.0037979,            0.018332,           0.0089358,           0.0089358,           0.0089358
                  45,            0.029467,            0.013019,            0.030799,              0.5143,             0.77565,             0.65317,             0.43039,            0.015924,           0.0038719,            0.018562,            0.008911,            0.008911,            0.008911
                  46,            0.029779,            0.013459,            0.030328,              0.5559,             0.70871,              0.6437,             0.42457,            0.015981,           0.0039115,            0.017928,           0.0088863,           0.0088863,           0.0088863
                  47,            0.030155,            0.013401,            0.031091,             0.59144,             0.76311,             0.65022,             0.43353,            0.016653,           0.0036663,            0.020477,           0.0088615,           0.0088615,           0.0088615
                  48,            0.028523,            0.013277,            0.030711,             0.58742,             0.69828,             0.70777,             0.48179,            0.015418,           0.0036075,            0.017562,           0.0088368,           0.0088368,           0.0088368
                  49,            0.028187,            0.012769,            0.030288,             0.59809,             0.73215,             0.70116,             0.48543,             0.01506,           0.0037037,            0.017156,            0.008812,            0.008812,            0.008812
                  50,            0.028801,            0.012705,             0.03178,             0.57439,             0.75684,             0.65449,             0.45013,            0.016536,           0.0040058,            0.017913,           0.0087872,           0.0087872,           0.0087872
                  51,            0.030117,            0.013205,            0.032938,             0.56287,             0.70704,             0.69965,             0.46418,             0.01607,           0.0038356,            0.017995,           0.0087625,           0.0087625,           0.0087625
                  52,            0.029259,             0.01371,            0.032387,              0.5444,             0.79094,             0.68956,             0.46813,            0.015217,           0.0037834,            0.015278,           0.0087378,           0.0087378,           0.0087378
                  53,            0.029341,            0.013008,            0.030928,             0.57635,             0.73022,             0.66646,             0.45869,            0.015731,           0.0037837,            0.016452,            0.008713,            0.008713,            0.008713
